S.No,News Covered on Dated,State,Heading,Link
1,01.12.12,Chandigarh,"Dalit woman alleges gangrape, 2 accused found dead - Indian Express
 ","http://www.indianexpress.com/news/dalit-woman-alleges-gangrape-2-accused-found-dead/1038937/0
 "
2,01.12.12,Hariyana,"Dalit woman gang raped, 2 of five accused commit suicide - The Pioneer
 ","http://dailypioneer.com/state-editions/chandigarh/112498-dalit-woman-gang-raped-2-of-five-accused-commit-suicide.html
 "
3,04.12.12,Tamil Nadu,"Tension in Naickenkottai after death of woman - DNA
 ","http://www.dnaindia.com/india/report_tension-in-naickenkottai-after-death-of-woman_1773102
 "
4,06.12.12,CHENNAI,"Woman who married dalit knocks on HC door for cover - The Times Of India
 ","http://timesofindia.indiatimes.com/city/chennai/Woman-who-married-dalit-knocks-on-HC-door-for-cover/articleshow/17500084.cms
 "
5,08.12.12,BHOPAL,"Pregnant dalit woman gang-raped - The Times Of India
 ","http://timesofindia.indiatimes.com/city/bhopal/Pregnant-dalit-woman-gang-raped/articleshow/17526627.cms
 "
6,09.12.12,Tamil Nadu,"Dalit girl buried in Dharmapuri - The Hindu
 ","http://www.thehindu.com/news/states/tamil-nadu/dalit-girl-buried-in-dharmapuri/article4180674.ece
 "
7,16.12.12,Odisha ,"Pipili gang rape: Panel quizzes forensic officer - The Times Of India
 ","http://timesofindia.indiatimes.com/city/bhubaneswar/Pipili-gang-rape-Panel-quizzes-forensic-officer/articleshow/17631724.cms
 "
8,06.01.13,Chandigarh,"Dalit minor raped, force fed pesticide - The Times Of India
 ","http://timesofindia.indiatimes.com/city/chandigarh/Dalit-minor-raped-force-fed-pesticide/articleshow/17908219.cms
 "
9,09.01.13,Gujrat,"Dalit woman raped in Bhavnagar village - The Times Of India
 ","http://timesofindia.indiatimes.com/city/rajkot/Dalit-woman-raped-in-Bhavnagar-village/articleshow/17945153.cms
 "
10,12.01.13,Haryana,"16-year-old rape victim sets herself afire Admitted to PGIMS in critical condition - The Tribune
 ","http://www.tribuneindia.com/2013/20130112/haryana.htm#7
 "
